name,symbol,price,day,time,date,minute
Ishares 1-5Yr Laddered Corp Bond ETF,CBO,13.3,Thursday,12:43,20200924,1242
Crescent Point Energy Corp,CPG,1.28,Thursday,12:43,20200924,1242
Cenovus Energy Inc,CVE,3.95,Thursday,12:43,20200924,1242
Ishares 1-5 Yr Ladder Govt Bond ETF,CLF,5.76,Thursday,12:43,20200924,1242
Cronos Group Inc,CRON,5.16,Thursday,12:43,20200924,1242
Evolve Global Healthcare Enhance Yld ETF,LIFE,3.8391,Thursday,12:43,20200924,1242
Keyera Corp,KEY,11.61,Thursday,12:43,20200924,1242
Ishares Global Monthly Dividend ETF,CYH,3.765,Thursday,12:43,20200924,1242
Obsidian Energy Ltd,OBE,0.163,Thursday,12:43,20200924,1242
Osisko Gold Royalties Ltd,OR,11.64,Thursday,12:43,20200924,1242
Organigram Holdings Inc,OGI,1.09,Thursday,12:43,20200924,1242
Just Energy Group Inc,JE,0.5019,Thursday,12:43,20200924,1242
Lithium Americas Corp,LAC,7.38,Thursday,12:43,20200924,1242
Ovintiv Inc,OVV,8.74,Thursday,12:43,20200924,1242
Magna International Inc,MG,3.85,Thursday,12:43,20200924,1242
Excelsior Mining Corp,MIN,3.79,Thursday,12:43,20200924,1242
Mullen Group Ltd,MTL,1.53,Thursday,12:43,20200924,1242
Quarterhill Inc,QTRH,1.2,Thursday,12:43,20200924,1242
Methanex Corp,MX,13.16,Thursday,12:43,20200924,1242
Mackenzie Max Dvrs US Index ETF,MUS,12.51,Thursday,12:43,20200924,1242
Mcewen Mining Inc,MUX,1.0,Thursday,12:43,20200924,1242
Mackenzie Floating Rate Income ETF,MFT,13.34,Thursday,12:43,20200924,1242
Mav Beauty Brands Inc,MAV,10.75,Thursday,12:43,20200924,1242
Medicenna Therapeutics Corp,MDNA,3.765,Thursday,12:43,20200924,1242
Manulife Fin,MFC,13.68,Thursday,12:43,20200924,1242
Horizons Active Ai Global Equity ETF,MIND,2.05,Thursday,12:43,20200924,1242
Mogo Inc,MOGO,1.4567,Thursday,12:43,20200924,1242
Nexa Resources S.A.,NEXA,6.03,Thursday,12:43,20200924,1242
